,id,name,country,country_code,abbreviation,week,Year
43,sr:competitor:230186,"Verbeek, Sem",Netherlands,NLD,VER,16,2025
44,sr:competitor:114831,"Erler, Alexander",Austria,AUT,ERL,16,2025
45,sr:competitor:203681,"Korda, Sebastian",USA,USA,KOR,16,2025
46,sr:competitor:81059,"Gille, Sander",Belgium,BEL,GIL,16,2025
47,sr:competitor:62410,"Johnson, Luke",Great Britain,GBR,JOH,16,2025
48,sr:competitor:15305,"Gonzalez, Santiago",Mexico,MEX,GON,16,2025
49,sr:competitor:66864,"Arends, Sander",Netherlands,NLD,ARE,16,2025
50,sr:competitor:231188,"Frantzen, Constantin",Germany,DEU,FRA,16,2025
51,sr:competitor:108755,"Jebens, Hendrik",Germany,DEU,JEB,16,2025
52,sr:competitor:47966,"Olivetti, Albano",France,FRA,OLI,16,2025
53,sr:competitor:16275,"Dodig, Ivan",Croatia,HRV,DOD,16,2025
54,sr:competitor:47295,"Andreozzi, Guido",Argentina,ARG,AND,16,2025
55,sr:competitor:78793,"Miedler, Lucas",Austria,AUT,MIE,16,2025
56,sr:competitor:127646,"Cabral, Francisco",Portugal,PRT,CAB,16,2025
57,sr:competitor:231090,"Arribage, Theo",France,FRA,ARR,16,2025
58,sr:competitor:104917,"Vliegen, Joran",Belgium,BEL,VLI,16,2025
59,sr:competitor:69362,"Mansouri, Skander",Tunisia,TUN,MAN,16,2025
60,sr:competitor:81763,"Jacq, Gregoire",France,FRA,JAC,16,2025
61,sr:competitor:16823,"Romboli, Fernando",Brazil,BRA,ROM,16,2025
62,sr:competitor:52244,"Balaji, N. Sriram",India,IND,BAL,16,2025
63,sr:competitor:17038,"Smith, John-Patrick",Australia,AUS,SMI,16,2025
64,sr:competitor:15588,"Rojer, Jean-Julien",Netherlands,NLD,ROJ,16,2025
65,sr:competitor:111195,"Luz, Orlando",Brazil,BRA,LUZ,16,2025
66,sr:competitor:48646,"Barrientos, Nicolas",Colombia,COL,BAR,16,2025
67,sr:competitor:112969,"Schnaitter, Jakob",Germany,DEU,SCH,16,2025
68,sr:competitor:936355,"Wallner, Mark",Germany,DEU,WAL,16,2025
69,sr:competitor:152900,"Rikl, Patrik",Czechia,CZE,RIK,16,2025
70,sr:competitor:49306,"Reyes-Varela, Miguel",Mexico,MEX,REY,16,2025
71,sr:competitor:204781,"Nouza, Petr",Czechia,CZE,NOU,16,2025
72,sr:competitor:918463,"Bollipalli, Rithvik Choudary",India,IND,BOL,16,2025
73,sr:competitor:25189,"Krajicek, Austin",USA,USA,KRA,16,2025
74,sr:competitor:52263,"Hidalgo, Diego",Ecuador,ECU,HID,16,2025
75,sr:competitor:838776,"Tracy, James",USA,USA,TRA,16,2025
76,sr:competitor:16198,"Escobar, Gonzalo",Ecuador,ECU,ESC,16,2025
77,sr:competitor:16042,"Haase, Robin",Netherlands,NLD,HAA,16,2025
78,sr:competitor:300540,"Machac, Tomas",Czechia,CZE,MAC,16,2025
79,sr:competitor:63438,"McDonald, Mackenzie",USA,USA,MCD,16,2025
80,sr:competitor:147104,"Romios, Matthew Christopher",Australia,AUS,ROM,16,2025
81,sr:competitor:871495,"Michelsen, Alex",USA,USA,MIC,16,2025
82,sr:competitor:287215,"Seggerman, Ryan",USA,USA,SEG,16,2025
83,sr:competitor:223868,"Matuszewski, Piotr",Poland,POL,MAT,16,2025
84,sr:competitor:393598,"Cash, Robert",USA,USA,CAS,16,2025
85,sr:competitor:104421,"Mies, Andreas",Germany,DEU,MIE,16,2025
86,sr:competitor:52951,"Pel, David",Netherlands,NLD,PEL,16,2025
87,sr:competitor:16043,"Middelkoop, Matwe",Netherlands,NLD,MID,16,2025
88,sr:competitor:75813,"Zhang, Zhizhen",China,CHN,ZHA,16,2025
89,sr:competitor:98413,"Drzewiecki, Karol",Poland,POL,DRZ,16,2025
90,sr:competitor:243522,"Paul, Jakub",Switzerland,CHE,PAU,16,2025
91,sr:competitor:234124,"Stevens, Bart",Netherlands,NLD,STE,16,2025
92,sr:competitor:1020797,"Trhac, Patrik",USA,USA,TRH,16,2025
93,sr:competitor:197678,"Tsitsipas, Petros",Greece,GRC,TSI,16,2025
94,sr:competitor:16573,"Demoliner, Marcelo",Brazil,BRA,DEM,16,2025
95,sr:competitor:125006,"Borges, Nuno",Portugal,PRT,BOR,16,2025
96,sr:competitor:209202,"Chandrasekar, Anirudh",India,IND,CHA,16,2025
97,sr:competitor:77653,"Cornea, Victor",Romania,ROU,COR,16,2025
98,sr:competitor:77223,"Martinez, Pedro",Spain,ESP,MAR,16,2025
99,sr:competitor:25457,"Nedovyesov, Aleksandr",Kazakhstan,KAZ,NED,16,2025
100,sr:competitor:808628,"Shelton, Ben",USA,USA,SHE,16,2025
101,sr:competitor:76361,"Kadhe, Arjun",India,IND,KAD,16,2025
102,sr:competitor:157396,"Veldheer, Mick",Netherlands,NLD,VEL,16,2025
103,sr:competitor:16992,"Willis, Marcus",Great Britain,GBR,WIL,16,2025
104,sr:competitor:73572,"Zormann, Marcelo",Brazil,BRA,ZOR,16,2025
